gene_id,ERR5060645,ERR5060646
gene:Os01g0809450,9,10
gene:Os01g0220200,608,879
gene:Os11g0643700,1275,1482
gene:Os09g0501200,1992,2314
gene:Os08g0422200,67,75
gene:Os02g0194900,197,461
gene:Os03g0715900,0,0
gene:Os09g0532000,1243,2357
gene:Os09g0565700,211,388
gene:Os05g0165200,0,0
gene:Os02g0127700,497,636
gene:Os02g0116600,2036,2533
gene:Os01g0615300,1338,3408
gene:Os02g0100800,61,149
gene:ENSRNA049475447,0,0
gene:Os05g0584950,100,111
gene:ENSRNA049475440,0,0
gene:Os06g0481200,88,256
gene:Os08g0138700,117,139
gene:Os06g0662900,0,0
gene:Os03g0395100,425,655
gene:Os01g0152100,0,0
gene:Os02g0640300,153,188
gene:Os01g0939800,92,66
gene:Os05g0555300,250,482
gene:Os07g0639800,2368,3079
gene:Os01g0360100,26,34
gene:Os08g0387500,709,1036
gene:Os03g0612450,8,11
gene:Os10g0559500,196,407
gene:ENSRNA049474790,0,0
gene:Os07g0560700,102,99
gene:Os03g0301950,14,96
gene:ENSRNA049474797,0,0
gene:Os01g0764400,2321,2279
gene:Os02g0119000,0,0
gene:Os09g0450200,645,910
gene:Os07g0614500,13088,12016
gene:Os07g0643400,193,638
gene:Os01g0143900,326,546
gene:Os03g0389501,40,56
gene:Os01g0576100,0,0
gene:Os10g0457400,48,79
gene:Os02g0663300,518,690
gene:Os03g0860100,2,0
gene:Os02g0332700,104,262
gene:Os05g0517400,222,136
gene:Os09g0345600,4,13
gene:Os03g0183900,176,1784
gene:Os02g0140200,427,442
gene:Os11g0639300,21,40
gene:Os11g0286400,0,0
gene:Os11g0109500,70,60
gene:Os06g0180050,1,2
gene:Os06g0177300,3130,1877
gene:Os09g0477700,104,149
gene:Os04g0175750,17,35
gene:Os01g0581300,346,396
gene:Os08g0224100,5952,10033
gene:Os01g0530400,1029,1264
gene:Os05g0528500,0,7
gene:Os01g0622700,1162,2519
gene:Os04g0683800,4714,8102
gene:Os10g0479100,440,215
gene:Os07g0510800,94,224
gene:Os08g0522300,0,0
gene:Os06g0535200,0,4
gene:Os05g0170600,0,8
gene:Os09g0555200,473,586
gene:Os06g0176650,26,10
gene:Os10g0511400,3968,4858
gene:Os04g0445900,59,33
gene:Os05g0461300,3023,4359
gene:Os04g0692800,108,245
gene:Os01g0391951,0,0
gene:Os06g0520600,22,27
gene:Os11g0216350,4,7
gene:Os09g0410400,446,411
gene:Os01g0215725,2,12
gene:Os11g0150100,707,914
gene:Os02g0652575,7,15
gene:Os02g0655700,1728,2583
