transcript_id,ERR5060645,ERR5060646
transcript:Os03t0168200-01,884,1063
transcript:Os05t0518600-01,1121,2689
transcript:Os04t0528400-02,40,25
transcript:Os04t0528400-03,98,87
transcript:Os04t0528400-01,0,16
transcript:Os02t0745800-01,273,381
transcript:Os03t0264700-01,452,708
transcript:Os06t0549666-00,0,0
transcript:Os05t0553400-01,30,62
transcript:Os06t0307900-01,73,106
transcript:Os02t0822600-01,528,276
transcript:Os02t0790600-01,33,26
transcript:Os02t0822600-02,11,5
transcript:Os05t0591700-00,0,3
transcript:Os07t0232300-01,39,0
transcript:Os08t0189100-01,478336,924849
transcript:Os01t0906000-01,270,195
transcript:Os10t0580550-01,26,45
transcript:Os02t0588250-01,23,13
transcript:Os02t0540000-01,66,62
transcript:Os03t0587250-01,2,9
transcript:Os07t0693800-01,391,504
transcript:Os03t0728800-01,1420,1197
transcript:Os02t0709300-01,971,1260
transcript:Os08t0468300-00,3,0
transcript:Os03t0728800-02,70,18
transcript:Os01t0956600-01,181,299
transcript:Os06t0487380-01,34,19
transcript:Os08t0121400-00,4,13
transcript:Os01t0863166-01,841,993
transcript:Os02t0307300-01,1,0
transcript:Os12t0624700-00,0,0
transcript:Os01t0243901-00,0,0
transcript:Os08t0549600-01,0,12
transcript:Os01t0841200-01,1452,2367
transcript:Os02t0575900-01,129,351
transcript:Os03t0275350-00,0,0
transcript:Os02t0772150-00,0,0
transcript:Os03t0106350-00,0,3
transcript:Os03t0101400-01,69,89
transcript:Os03t0302850-00,0,0
transcript:Os02t0458950-00,0,0
transcript:Os10t0115600-02,501,2753
transcript:Os01t0571166-00,70,45
transcript:Os03t0436500-01,0,0
transcript:Os08t0298500-00,0,2
transcript:ENSRNA049466778-T1,0,0
transcript:Os11t0109950-00,136,252
transcript:Os10t0452800-01,3107,4067
transcript:Os01t0853600-01,9,23
transcript:Os01t0853600-02,258,428
transcript:Os01t0853600-03,1,1
transcript:Os05t0390932-01,196,361
transcript:Os08t0243866-00,311,223
transcript:Os04t0616200-01,297,398
transcript:Os08t0360200-00,0,0
transcript:Os02t0168200-01,15,35
transcript:Os12t0157200-01,891,1140
transcript:Os02t0227100-01,496,643
transcript:Os06t0510200-01,0,8
transcript:Os06t0324150-01,9712,5388
transcript:Os05t0590300-01,13,16
transcript:Os11t0572200-01,0,20
transcript:Os02t0675750-00,0,0
transcript:Os12t0412800-01,8,34
transcript:Os11t0157200-03,2454,5340
transcript:Os09t0450300-01,436,569
transcript:Os09t0450300-02,43,313
transcript:Os09t0450300-03,488,550
transcript:Os03t0398250-00,0,2
transcript:Os04t0620500-01,277,341
transcript:Os12t0141600-00,893,1050
transcript:Os07t0412100-02,99,120
transcript:Os06t0215000-01,0,9
transcript:Os09t0507350-00,0,0
transcript:Os03t0276700-01,604,487
transcript:Os12t0168700-01,317,858
transcript:Os07t0687400-00,33,52
transcript:Os11t0156050-00,30,32
transcript:Os10t0194250-01,16,16
transcript:Os12t0168700-02,1159,1982
transcript:Os09t0488000-01,217,253
transcript:Os03t0257000-01,357,321
transcript:Os11t0457300-01,41,109
transcript:Os07t0649100-00,13,10
transcript:Os10t0415100-01,49,220
transcript:Os01t0594500-01,646,1294
transcript:Os06t0555500-01,630,941
transcript:Os06t0105800-02,1198,2217
transcript:Os09t0474350-00,6,7
transcript:Os09t0530900-01,163,141
transcript:EPlORYSAT000373870,3,10
transcript:EPlORYSAT000373871,1,1
transcript:EPlORYSAT000373872,1,11
transcript:Os10t0415100-02,0,51
transcript:Os09t0274100-01,32,28
transcript:Os02t0171500-00,1063,515
transcript:Os06t0125800-01,182,466
transcript:Os11t0678301-00,253,158
transcript:Os02t0226400-01,29,61
transcript:Os02t0326000-01,25,99
transcript:Os02t0326000-02,294,400
transcript:Os01t0128300-01,205,343
transcript:Os05t0117600-00,4171,5020
transcript:Os11t0168250-00,1,1
transcript:Os04t0376300-01,1628,3253
transcript:Os12t0139350-00,0,0
transcript:Os02t0229600-00,32,57
transcript:Os06t0319133-01,0,213
transcript:Os05t0172100-01,227,469
transcript:Os06t0317400-01,0,0
transcript:Os08t0180100-02,30,14
transcript:Os08t0180100-01,3180,4437
transcript:Os11t0175450-00,3,4
transcript:Os06t0154800-01,746,924
transcript:Os05t0371500-01,541,1231
transcript:Os08t0527400-01,271,340
transcript:Os05t0508400-01,404,1359
transcript:Os02t0498666-01,1810,4539
transcript:Os06t0549337-00,0,0
transcript:Os03t0775000-00,38,107
transcript:Os03t0829466-01,9,3
transcript:Os10t0497000-01,2767,3955
transcript:Os03t0559900-01,87,138
transcript:Os03t0559900-02,45,7
transcript:Os07t0114300-01,7987,12654
transcript:Os07t0602900-02,0,38
transcript:Os08t0106700-00,305,391
transcript:Os02t0745400-01,3,52
transcript:Os01t0673400-00,0,0
transcript:Os02t0745400-02,4,20
transcript:Os03t0747800-01,3106,4034
transcript:Os03t0187525-00,5,27
transcript:Os01t0572100-01,335,531
transcript:Os03t0234600-00,537,678
transcript:Os02t0771900-00,13,19
transcript:Os08t0129200-02,3744,4613
transcript:Os03t0606600-00,0,0
transcript:Os03t0678800-01,9,73
transcript:Os08t0476000-01,163,199
transcript:Os08t0359050-00,9,13
transcript:Os04t0463600-01,709,908
transcript:Os08t0441900-00,28,24
transcript:Os03t0153000-00,618,695
transcript:Os04t0206100-00,0,0
transcript:Os03t0810700-00,54,124
transcript:Os05t0472500-00,0,0
transcript:Os10t0444600-01,0,6
transcript:Os06t0709100-02,604,576
transcript:Os06t0709100-01,1227,2262
transcript:Os09t0437400-00,7,5
transcript:Os09t0290900-01,474,707
transcript:Os04t0269900-01,2173,2638
transcript:Os02t0781300-00,0,0
transcript:Os01t0271500-01,3426,4057
transcript:Os10t0545800-01,169,280
transcript:Os05t0370300-00,0,15
transcript:Os01t0362000-01,456,532
transcript:Os07t0411300-01,6,21
transcript:Os06t0265000-01,10449,11816
transcript:Os02t0199900-03,34,1369
transcript:Os02t0199900-02,455,5171
transcript:Os02t0199900-01,6572,1730
transcript:Os07t0671000-01,16,30
transcript:Os06t0203550-01,238,315
transcript:Os02t0720500-01,105,217
transcript:Os07t0248800-02,136,171
transcript:Os02t0611000-02,77,139
transcript:Os02t0611000-01,244,190
transcript:Os03t0108932-00,64,98
transcript:Os07t0143500-01,102,104
transcript:Os07t0144732-00,0,0
transcript:Os12t0580300-01,286,304
transcript:Os04t0659500-01,101,66
transcript:Os12t0521101-00,0,0
transcript:Os04t0582700-00,41,57
transcript:Os04t0296700-03,107,99
transcript:Os04t0296700-02,297,331
transcript:Os04t0296700-01,634,887
transcript:transcript-rps19-2,6,20
transcript:Os09t0278700-00,32,45
transcript:Os03t0180900-01,412,973
transcript:Os01t0723700-01,260,326
transcript:Os07t0552800-01,28,109
transcript:Os07t0552800-02,12,0
transcript:Os06t0185966-00,10,29
transcript:Os04t0572400-01,10,20
transcript:Os08t0424700-00,0,0
transcript:Os05t0195901-00,0,0
transcript:Os06t0700550-00,0,34
transcript:Os11t0250400-01,0,0
transcript:Os01t0953600-01,519,1028
transcript:Os02t0644700-01,2363,2654
transcript:ENSRNA049476419-T1,0,0
transcript:Os01t0953600-02,252,291
transcript:Os10t0500700-01,5324,7650
transcript:Os10t0500700-02,0,0
transcript:Os05t0166833-00,0,0
transcript:Os02t0562000-00,0,0
transcript:Os07t0466500-00,25,5
transcript:Os05t0549232-00,0,0
transcript:Os05t0548900-01,2116,1731
transcript:Os11t0620450-00,54,37
transcript:Os07t0571000-01,0,0
transcript:Os03t0284600-01,329,693
transcript:Os06t0221000-00,10,23
transcript:Os07t0506700-01,908,1080
transcript:Os07t0582600-00,0,0
transcript:Os12t0411700-02,5,41
transcript:Os08t0552700-00,0,0
transcript:Os07t0188700-01,617,2263
transcript:Os07t0188700-02,17,19
transcript:Os07t0188700-03,29,0
transcript:Os03t0591600-00,0,6
